2025-03-31 16:42:46,604 - INFO - Step 10: Action [1], Reward [-0.00015], Episode 0, Trade Count 1
2025-03-31 16:42:46,621 - INFO - Step 11: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:42:49,973 - INFO - Step 12: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-04-02 16:11:16,068 - INFO - Step 0: Action [1], Reward [-0.0003], Episode 0, Trade Count 1
2025-04-02 16:11:16,133 - INFO - Step 1: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:11:26,150 - INFO - Step 2: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:11:36,168 - INFO - Step 3: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:11:46,182 - INFO - Step 4: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:11:46,196 - INFO - Step 5: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:11:56,323 - INFO - Step 6: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-04-02 16:12:06,490 - INFO - Step 7: Action [1], Reward [-0.0003], Episode 0, Trade Count 1
2025-04-02 16:12:06,616 - INFO - Step 8: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-04-02 16:12:06,630 - INFO - Step 9: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:12:16,762 - INFO - Step 10: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-04-02 16:12:21,907 - INFO - Step 11: Action [2], Reward [-0.0003], Episode 0, Trade Count 1
2025-04-02 16:13:02,135 - INFO - Step 12: Action [1], Reward [-0.0003], Episode 0, Trade Count 1
2025-04-02 16:13:02,148 - INFO - Step 13: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:13:12,166 - INFO - Step 14: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:13:22,183 - INFO - Step 15: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:13:42,343 - INFO - Step 16: Action [1], Reward [0.0003], Episode 0, Trade Count 1
2025-04-02 16:13:42,357 - INFO - Step 17: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:13:52,490 - INFO - Step 18: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-04-02 16:13:52,506 - INFO - Step 19: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:14:07,668 - INFO - Step 20: Action [1], Reward [0.00027], Episode 0, Trade Count 1
2025-04-02 16:14:12,819 - INFO - Step 21: Action [2], Reward [-0.0003], Episode 0, Trade Count 1
2025-04-02 16:14:17,969 - INFO - Step 22: Action [1], Reward [-0.0003], Episode 0, Trade Count 1
2025-04-02 16:14:28,140 - INFO - Step 23: Action [1], Reward [-0.00037], Episode 0, Trade Count 1
2025-04-02 16:14:33,290 - INFO - Step 24: Action [2], Reward [0.00027], Episode 0, Trade Count 1
2025-04-02 16:14:33,304 - INFO - Step 25: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:14:43,432 - INFO - Step 26: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-04-02 16:15:03,621 - INFO - Step 27: Action [2], Reward [0.0003], Episode 0, Trade Count 1
2025-04-02 16:15:13,787 - INFO - Step 28: Action [2], Reward [-0.0003], Episode 0, Trade Count 1
2025-04-02 16:15:13,801 - INFO - Step 29: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:15:23,818 - INFO - Step 30: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:15:59,021 - INFO - Step 31: Action [1], Reward [-0.0003], Episode 0, Trade Count 1
2025-04-02 16:16:04,179 - INFO - Step 32: Action [2], Reward [-0.0003], Episode 0, Trade Count 1
2025-04-02 16:16:09,320 - INFO - Step 33: Action [2], Reward [-0.00033], Episode 0, Trade Count 1
2025-04-02 16:16:09,330 - INFO - Step 34: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:16:44,548 - INFO - Step 35: Action [2], Reward [-0.00038], Episode 0, Trade Count 1
2025-04-02 16:16:44,562 - INFO - Step 36: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:16:54,579 - INFO - Step 37: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:17:14,742 - INFO - Step 38: Action [1], Reward [0.0003], Episode 0, Trade Count 1
2025-04-02 16:17:19,890 - INFO - Step 39: Action [2], Reward [-0.0003], Episode 0, Trade Count 1
2025-04-02 16:17:19,904 - INFO - Step 40: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:17:30,036 - INFO - Step 41: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-04-02 16:17:40,201 - INFO - Step 42: Action [1], Reward [0.0003], Episode 0, Trade Count 1
2025-04-02 16:17:55,381 - INFO - Step 43: Action [1], Reward [-0.0003], Episode 0, Trade Count 1
2025-04-02 16:17:55,398 - INFO - Step 44: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-04-02 16:18:10,549 - INFO - Step 45: Action [1], Reward [-0.0003], Episode 0, Trade Count 1
2025-04-02 16:18:10,563 - INFO - Step 46: Action [0], Reward [0.001], Episode 0, Trade Count 0
